Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32.995.755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;09/2021;2.482.780;1.848.212;40.953;0;92;0;30.911;444.754;117.835;0;0;0;0;0;0;0;0;0;0;23;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;09/2021;2.478.147;168.938;0;0;0;0;0;2.306.337;0;2.597;0;0;0;0;274;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81.466.286;b3S;I;2;S4;9;PONTA GROSSA;PR;09/2021;2.447.669;1.339.745;222.961;0;0;0;0;776.297;108.654;0;0;0;0;0;0;0;0;0;0;11;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26.408.161;b3S;I;2;S4;9;DOURADOS;MS;09/2021;2.437.611;1.816.117;2.056;0;0;0;0;584.792;34.624;0;0;0;0;0;0;0;0;0;0;22;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33.021.064;b3S;I;2;S4;9;CANARANA;MT;09/2021;2.436.693;732.108;290.819;0;6;0;20.126;1.358.807;34.823;0;0;0;0;0;0;0;0;0;0;5;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO – SICREDI PLANALTO RS/MG;88.038.260;b3S;I;2;S4;9;CRUZ ALTA;RS;09/2021;2.403.949;1.641.199;29.910;0;0;0;0;675.197;57.113;0;0;0;0;522;2;0;0;0;0;6;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;S4;8;SAO PAULO;SP;09/2021;2.327.348;1.791.009;40.670;4.680;0;0;139;116.826;99.279;103;31.743;233.192;0;9.689;18;0;0;0;0;0;0
BANCO DIGIMAIS S.A.;92.874.270;b1;I;3;S4;8;SAO PAULO;SP;09/2021;2.323.504;2.312.493;0;0;0;0;0;10.953;0;0;0;0;0;0;0;0;0;0;0;82;0
BMW;51.420;n1;C;3;S4;197;SAO PAULO;SP;09/2021;2.290.197;2.290.197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2.398.976;b3S;I;2;S4;9;LONDRINA;PR;09/2021;2.270.789;635.206;0;0;0;0;0;1.633.440;0;0;0;0;0;2.143;0;0;0;0;0;1;0
BANCO DIGIO S.A.;27.098.060;b2;I;3;S4;8;BARUERI;SP;09/2021;2.213.104;2.207.802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.302;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42.898.825;b3S;I;2;S5;9;BELO HORIZONTE;MG;09/2021;2.184.347;568.946;0;0;0;0;0;1.568.153;47.247;0;0;0;0;0;0;0;0;0;0;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE – SICREDI GRANDES RIOS MT/PA;37.442.605;b3S;I;2;S4;9;COLIDER;MT;09/2021;2.165.159;1.858.518;11.860;0;0;0;0;178.629;112.296;0;0;0;0;3.840;0;0;0;0;0;16;0
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;09/2021;2.117.041;2.107.617;0;0;0;0;0;9.108;0;0;0;0;0;0;0;0;0;0;0;315;0
COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;S5;9;LINHARES;ES;09/2021;2.096.514;863.376;39.165;0;0;0;0;1.100.328;93.631;0;0;0;0;0;0;0;0;0;0;13;0
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55.230.916;b1;I;3;S4;8;SAO PAULO;SP;09/2021;2.035.513;1.393.219;0;0;0;0;99.359;542.935;0;0;0;0;0;0;0;0;0;0;0;0;0
FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;15.581.638;n1;I;2;S4;14;PORTO ALEGRE;RS;09/2021;2.027.053;2.026.761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293;0
BANCO HSBC S.A.;53.518.684;b1;I;3;S4;8;SAO PAULO;SP;09/2021;1.998.717;1.026.362;0;0;0;0;0;562.622;0;0;0;0;0;0;409.733;0;0;0;0;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;09/2021;1.992.318;874.020;43.256;201.234;162.693;0;0;0;622.099;0;30.131;873;0;52.780;5.232;0;0;0;0;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;09/2021;1.991.019;1.325.644;0;0;0;0;0;142.434;0;522.941;0;0;0;0;0;0;0;0;0;0;0
BANCO MIZUHO DO BRASIL S.A.;61.088.183;b1;I;3;S4;8;SAO PAULO;SP;09/2021;1.967.107;1.301.777;0;0;0;0;0;665.331;0;0;0;0;0;0;0;0;0;0;0;0;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;09/2021;1.966.359;89.660;0;178.742;339.577;0;0;0;840.159;0;0;166.953;0;351.268;0;0;0;0;0;0;0
PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;09/2021;1.957.928;1.890.443;0;0;0;0;0;21.139;0;0;0;0;0;0;0;0;0;0;0;46.346;0
